"term","year","district","school","map.grade","subject","rit","se","percentile","goal.fall.fall","goal.spring.spring","goal.fall.spring","goal.fall.winter","hash.id"
"fall","2014-2015","ReNEW Charter Schools","AHS",9,"reading",195,3.3,4,3,,2,2,"1795814b2719e48c31745805f36f1261224ffdd33bce5bb55acdb17909f2170c"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",221,3.3,,,,,,"828b7fec60ffc36551c786de43c5abb03f4f5b3daec05315fb8d3e6ca3db4353"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",190,3.7,1,,,,,"55a59a3545ce35b1f17f820730f0e4f18f73cce6065b53cc7a8876e83957e4e0"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",171,3,29,15,,14,8,"657da9b619db020fe05356a647458b278112991e5ab5ea46ab1ce5f41fc0f57e"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",165,3,24,16,,15,9,"657da9b619db020fe05356a647458b278112991e5ab5ea46ab1ce5f41fc0f57e"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",203,3.3,9,2,,2,2,"fc26b5802bc936aebccc3de349ec874f4675deb57b4fbd3317e2af2346b9dd8b"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",200,3.3,6,,,,,"68b0a6d0ff61818f18c45d413a59cff64addf5aedf8ea48287adf714deab4654"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",189,3.4,1,3,,2,2,"c295dae8f4b7037ebc3aa48c381b4f15ec74c21ba9b15c188cfc00099f8a2779"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",210,3.2,19,2,,2,2,"31a2def7978b40f3726e93737d2d4e89983624aa8e89f82db8784897b0df3fad"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",204,3.2,10,,,,,"0877adda2525aa58bab1c037c5896db52d53e42ffcd54df8e82e2cb83a7927dd"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",224,3.3,,,,,,"20779c9df93759695fbafef8e5a223bf30b74e54e4301f58b78beb27ad86a629"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",223,3.2,50,,,,,"fd7c882cc1f263d768addcb1bb308c9917396a09e6ef0287e6d687687d94f5a1"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",204,3.2,,,,,,"a79e1a96870acb15f6ff3bdd914407e6bb49462a56312edd63e36fb8d3012d93"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",190,3.3,,,,,,"830efb3f9e4dae5c06c80f9849837fd5544f736b1f9612217af7d89ceee05fac"
"fall","2014-2015","ReNEW Charter Schools","AHS",9,"reading",204,3.3,13,3,,2,2,"2116cf7fc89f9518d9e95c2a1d1f707f6e1f4f54bcb88f58671e34c43fcc2730"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",234,3.3,74,,,,,"da22411b9a0f27dbf3e7b594c31f4005cb4d0528229cd32e5425f3eca06f9a8a"
